"1000","3000","10000","30000","100000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
57656.8,57655,57654.2,57658,57660,57656.5,57654.75,57654.25,57656.75,57658,57658.25,57657,57658.5,57659.25,57658.5,57657.75,57657.5,57655.25,57656.25,57656.25,57655.5,57655.75,57655.5,57656,57655.25,57656.9,57653
57653.5,57651.5,57651.8,57656,57655.5,57652,57650.25,57651.25,57651.25,57651,57653.25,57654.5,57653.75,57653.25,57650.75,57650.5,57650.25,57650.25,57649.75,57648.25,57649,57647.5,57647.25,57646.25,57641,57653,57677.9
57678.8,57678.8,57678.8,57677.5,57675.2,57679,57679,57676.75,57679.75,57678.25,57679.25,57676.75,57676.75,57679.25,57679,57678.25,57677.5,57677.5,57677.5,57680.25,57680.75,57680.5,57680.25,57681,57681.5,57677.9,57676
57677.2,57678,57677.8,57672.8,57676.8,57677.5,57678,57677.5,57676.75,57674.5,57673.5,57673.5,57674.25,57674.25,57675.25,57675,57674.75,57672.25,57672.25,57672.5,57670.5,57670.75,57670.75,57670,57670.5,57676,57638.1
57635.5,57637.2,57637.8,57639.2,57635,57640.5,57637.5,57638.75,57636.5,57637.75,57638.5,57639.25,57640,57639.5,57638.25,57640,57638.5,57638.5,57638.5,57639.5,57641.5,57641.5,57642.5,57644.25,57645,57638.1,57633.7
57637.5,57637.2,57633.8,57632,57628.2,57634,57635.25,57635.5,57633,57632,57632.25,57632.25,57633.5,57634,57633.5,57633.75,57634.75,57634.5,57635,57640.25,57641.25,57643.25,57643.25,57643.25,57644,57633.7,57648
57650.2,57650.2,57645.2,57648.5,57649.2,57650.5,57650.5,57647.25,57646,57646.25,57647.25,57646,57645.75,57646.5,57646.25,57646.25,57646.25,57648.25,57648.25,57648.5,57650.25,57649.75,57649,57649.5,57649.25,57648,57616.8
57616.8,57616.5,57611.5,57618.2,57616.5,57616.75,57616.75,57616,57617,57617.75,57619.25,57618.75,57619,57619.25,57619.75,57622.25,57623.5,57623.5,57624,57623.25,57624.5,57624.75,57626.5,57626.25,57625.5,57616.8,57622.4
57619.2,57623.5,57621.8,57619.5,57626.2,57619.5,57623.5,57622,57622.25,57622.25,57622.25,57624,57625,57625.75,57624.75,57624.75,57624.25,57623.5,57623.25,57623.25,57624.5,57624.75,57625,57624,57622.25,57622.4,57620.2
57619.8,57617.5,57618.8,57618.5,57621.5,57620,57621,57622.75,57622.5,57621.75,57621,57619.75,57621.75,57621.5,57621.5,57621.75,57623.5,57622.5,57623.25,57622.5,57622.5,57622.5,57622.5,57623,57627.5,57620.2,57597.3
57590.8,57596.8,57598.5,57599.2,57595.2,57596.5,57596.75,57598,57598.25,57599.25,57599,57599.5,57601,57599.25,57599,57597.75,57597.5,57597.5,57597.25,57597.5,57599,57599,57599.75,57599.5,57601.25,57597.3,57600.4
57598.2,57598.2,57600.5,57604,57599,57598.5,57599.25,57601,57602.25,57603.5,57602.5,57601,57600.5,57599.5,57600,57600,57601.25,57601.5,57602.75,57603.75,57603.25,57602.75,57602.75,57603.5,57604.25,57600.4,57602.5
