"1,000","3,000","10,000","30,000","100,000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
32507.5,32508.5,32512,32510.8,32507.8,32508.75,32508.5,32509.25,32509.25,32509,32509.5,32509.5,32509.5,32509,32508.75,32508.5,32508.25,32507.75,32507.75,32507.75,32508.5,32508.25,32507.75,32508.5,32509,32509.21,32481.47
32481,32481,32480.8,32482.8,32484.3,32479.5,32480.75,32480.75,32479.5,32481.75,32482.5,32482.5,32482.5,32482.5,32482,32482,32482,32482,32482.25,32483.5,32483.25,32483.25,32485.5,32485,32484.75,32481.47,32479.49
32480.5,32479.5,32479.8,32478.5,32483.3,32477,32480.5,32479.5,32478.25,32478.25,32478.25,32479.5,32479.25,32479.25,32479,32480,32479.75,32479.75,32479.75,32479.75,32479.75,32479.25,32479.25,32479.25,32479.5,32479.49,32476.41
32473.5,32475.3,32476,32478,32482,32473.75,32475.25,32476,32476,32477,32477.5,32476.5,32476.75,32476.75,32477,32476,32476.25,32476.25,32477,32474.75,32474.75,32474.5,32475.25,32475.5,32476.25,32476.41,32486.09
32486.3,32485,32484.8,32486.5,32486.3,32486.25,32485.25,32485.75,32487.25,32486.75,32487,32486.25,32486.25,32486,32484.5,32485,32485.25,32485.25,32484.5,32484.5,32484.5,32484.75,32484.75,32484.25,32483.75,32486.09,32573.52
32573.3,32573.3,32573.3,32574.5,32576,32573.5,32573.5,32574.5,32574.5,32573,32572.75,32572,32570.5,32571.75,32570.5,32570,32570.25,32570.25,32570.25,32570.25,32570.25,32569.5,32569,32569.25,32569,32573.52,32557.86
32555.5,32558,32558,32555.8,32556.5,32557.5,32558.25,32560.75,32559.25,32560,32560,32559.5,32559.75,32559,32558.5,32558.5,32558.75,32558.25,32558,32558,32558,32558.5,32558.5,32558,32559.25,32557.86,32583.49
32584,32584.5,32585.3,32584.8,32583.8,32582.5,32583.25,32581.25,32582,32582.25,32582.25,32581.75,32582.5,32582.5,32581.25,32581.5,32581,32581,32582.75,32582.75,32582.25,32582.25,32582,32580.75,32580.75,32583.49,32594.32
32593.8,32594.8,32593,32596.8,32596.5,32593.75,32593.75,32591.75,32592,32592.75,32593,32593,32595.75,32595.5,32595.25,32595,32595,32595,32593.75,32593.5,32593.25,32593,32593,32591.75,32591.75,32594.32,32638.18
32637.3,32638.8,32638.8,32639.8,32640.3,32637.25,32637.25,32637,32637,32636,32637.25,32639.25,32638,32638,32637,32637.25,32637.5,32637,32637.25,32636.25,32636.25,32635.75,32637.75,32637,32637.25,32638.18,32696.75
32700.3,32700.3,32700.3,32700.3,32701,32700.25,32700.25,32694.5,32691.75,32686,32686.5,32686.5,32686.5,32687.75,32688.5,32689,32685.75,32687.5,32687.5,32686.75,32687.5,32687.75,32688.75,32689.25,32690.5,32696.75,32720.49
32722.5,32722.5,32722.3,32722.3,32716.8,32721.25,32722,32721.75,32717.5,32717.5,32718.5,32719,32719.25,32718,32719,32717.75,32718.25,32717.25,32715.75,32716.75,32716.25,32716.25,32715.5,32715.5,32713.75,32720.49,32775.5
32776.3,32776.3,32776.8,32771.3,32772.5,32778.5,32777.5,32778.25,32774.5,32777,32775.75,32775.75,32775.5,32776.25,32776.5,32776.5,32776.5,32773.5,32771.5,32771.5,32771.75,32772,32772,32772,32769.75,32775.5,32714.62
32717.3,32713.3,32710.5,32708,32714.8,32717.25,32713.25,32713,32717.75,32715.5,32716,32718.75,32718,32718,32717.75,32715.75,32716,32716.25,32716.5,32716.5,32716.75,32716.5,32717,32717,32718,32714.62,32721.34
32721,32722.8,32724,32723,32719.3,32721,32721.75,32722.75,32719.5,32720.25,32721,32721,32720,32720,32720.75,32722.25,32722.25,32723,32723.75,32723.5,32723,32722.5,32721.75,32720.75,32721,32721.34,32708.68
32708.5,32708.5,32706,32712.5,32710.8,32707.25,32706,32705.25,32706.5,32710.5,32709.75,32710,32711,32711,32710.25,32709.75,32709.75,32709.5,32708.75,32708.75,32709.25,32708.25,32710.25,32710,32709.75,32708.68,32756.16
32756.5,32757,32753.8,32757.8,32759.5,32756.75,32756.75,32753.75,32751.5,32751,32754.75,32755.5,32757.25,32759.5,32761.5,32760.25,32760.5,32759.75,32759.75,32759.75,32761,32761,32761,32760.25,32760.5,32756.16,32769.93
32766.5,32766.5,32766.5,32774,32775.8,32766.5,32766.75,32769.5,32770,32773,32772,32774.75,32774.75,32773.25,32773.25,32772.75,32772.75,32772.25,32773,32773.5,32773.25,32774,32772.5,32771.25,32771.5,32769.93,32817.24
32810.5,32813,32816.3,32816.3,32827.3,32812.75,32813,32816,32815.75,32823.5,32824,32821.75,32823.5,32826,32825.25,32823.75,32823.75,32825,32825,32824.75,32825,32824.75,32826.25,32826.25,32826,32817.24,32793.54
32793.8,32794.5,32794.5,32793.5,32799.8,32793.75,32789.5,32789.25,32791,32791.75,32791.75,32791.5,32793.25,32794.75,32797.25,32798,32797.75,32797.75,32797.25,32797.5,32798.25,32798.75,32800,32800,32800.5,32793.54,32787.89
32784.3,32789,32789,32791.8,32792.3,32784.25,32784.25,32787.5,32788.75,32787.5,32787.5,32787.5,32787.75,32790.25,32790,32791.25,32792,32792,32791.75,32791.5,32791.5,32791.5,32791.75,32792.25,32791,32787.89,32827.69
32823.8,32826.8,32828,32832.3,32828.5,32826,32826.75,32826.75,32826.5,32826.25,32830.25,32828,32828,32828.25,32827,32827.75,32827.75,32827.5,32827.5,32827.75,32823.5,32825,32827,32827,32830.25,32827.69,32806.61
